,date,sentiment,Count,ticker,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,diff,bin_sentiment,bin_diff
114,2014-10-15,-11,129,AAPL,97.97,99.15,95.18,97.54,100933600.0,0.0,1.0,93.0472240898,94.1679316985,90.3974154217,92.6388306391,100933600.0,-0.43,-1,-1
115,2014-10-16,2,148,AAPL,95.55,97.72,95.41,96.26,72154523.0,0.0,1.0,90.7488237397,92.8097860371,90.6158584302,91.4231478093,72154523.0,0.71,1,1
116,2014-10-17,14,29,AAPL,97.5,99.0,96.81,97.67,68179688.0,0.0,1.0,92.6008405507,94.0254688669,91.9455115253,92.7622984265,68179688.0,0.17,1,1
117,2014-10-20,24,57,AAPL,98.315,99.96,98.22,99.76,77517279.0,0.0,1.0,93.3748886025,94.9372309892,93.2846621425,94.7472805471,77517279.0,1.445,1,1
118,2014-10-21,11,114,AAPL,103.02,103.02,101.27,102.47,94623904.0,0.0,1.0,97.8434727542,97.8434727542,96.1814063853,97.3211090383,94623904.0,-0.55,1,-1
119,2014-10-22,56,98,AAPL,102.84,104.11,102.6,102.99,68263146.0,0.0,1.0,97.6725173563,98.8787026639,97.4445768257,97.8149801879,68263146.0,0.15,1,1
120,2014-10-23,34,192,AAPL,104.08,105.051,103.63,104.83,71074674.0,0.0,1.0,98.8502100976,99.7724194943,98.4228216028,99.5625242557,71074674.0,0.75,1,1
121,2014-10-24,42,133,AAPL,105.18,105.49,104.53,105.22,47053916.0,0.0,1.0,99.8949375295,100.189360715,99.2775985925,99.9329276179,47053916.0,0.04,1,1
122,2014-10-27,19,187,AAPL,104.85,105.48,104.7,105.11,34187701.0,0.0,1.0,99.5815192999,100.179863193,99.4390564683,99.8284548747,34187701.0,0.26,1,1
123,2014-10-28,34,153,AAPL,105.4,106.74,105.35,106.74,48060949.0,0.0,1.0,100.103883016,101.376550978,100.056395405,101.376550978,48060949.0,1.34,1,1
124,2014-10-29,36,124,AAPL,106.65,107.37,106.36,107.34,52687879.0,0.0,1.0,101.291073279,101.974894871,101.015645138,101.946402305,52687879.0,0.69,1,1
125,2014-10-30,114,119,AAPL,106.959,107.35,105.9,106.98,40654793.0,0.0,1.0,101.584546712,101.955899827,100.578759121,101.604491509,40654793.0,0.021,1,1
126,2014-10-31,21,74,AAPL,108.01,108.04,107.21,108.0,44639285.0,0.0,1.0,102.582736286,102.611228852,101.822934517,102.573238764,44639285.0,-0.01,1,-1
127,2014-11-03,26,118,AAPL,108.22,110.3,108.01,109.4,52282550.0,0.0,1.0,102.78218425,104.757668849,102.582736286,103.902891859,52282550.0,1.18,1,1
